osm_id,name,centroid_base,centroid_lat,centroid_lon,main_entrance_lat,main_entrance_lon,category,cohort,walking_distance_centroid_to_main_entrance_m,walking_distance_centroid_to_nearest_driving_road_m,walking_distance_centroid_to_nearest_transit_stop_m,walking_distance_main_entrance_to_nearest_driving_road_m,walking_distance_main_entrance_to_nearest_transit_stop_m,is_same_nearest_driving_road,is_same_transit_stop,euclidean_distance_centroid_to_main_entrance_m,absolute_difference_nearest_road_distance_m,absolute_difference_nearest_transit_stop_distance_m
node/10025936273,,building,22.6518884,110.0903469,22.6520793,110.0903469,,world,21,67,,84,,TRUE,,21,17,
node/10112958039,M&T Bank,building,41.2394492,-77.052764,41.2396328,-77.0529597,,world,68,18,,14,,FALSE,,26,4,
node/10708276623,Leon Leather & Soccer Shop,building,37.3231023,-121.871614,37.323081,-121.8715289,,world,8,20,80,14,82,TRUE,TRUE,8,6,2
node/10926073007,Üvezpınar Market,building,40.5992297,29.1749442,40.5991673,29.1748111,,world,19,14,,5,,FALSE,,13,9,
node/11076888905,Shift,building,30.8046267,31.0232296,30.8055225,31.0237301,,world,130,229,,192,,FALSE,,110,37,
node/12031718158,,building,41.7451069,44.774999,41.7451977,44.7750574,,world,11,16,,3,,TRUE,,11,13,
node/12319863101,โรงแรม สามสิริ รีสอร์ท บายพาสโคราช,area,15.0326794,102.0862266,15.0328059,102.0867337,,world,94,149,,119,,TRUE,,56,30,
node/12602381018,Centro Óptico Lemus Farah,building,10.4043466,-75.5536936,10.4044533,-75.5537772,,world,18,41,165,26,151,TRUE,TRUE,15,15,14
node/12836304435,,area,51.5611511,23.3854147,51.5620801,23.384871,,world,189,160,190,36,65,FALSE,TRUE,110,124,125
node/12870759089,Dr. Farol,building,-22.8805174,-47.0662666,-22.8805325,-47.0661612,,world,11,21,32,10,21,TRUE,TRUE,11,11,11
node/13058005199,,building,38.7787533,115.2693244,38.7786987,115.2691405,,world,17,52,,35,,TRUE,,17,17,
node/13162250172,Wa East District Assembly,building,10.3071816,-1.9785225,10.3071253,-1.9787072,,world,21,161,,144,,TRUE,,21,17,
node/13266051138,,area,33.5948503,113.9599964,33.5942601,113.9598179,,world,69,70,,7,,TRUE,,68,63,
node/13529191057,Antenne du Centre Fédératif de Prévention et de Dépistage de la Mayenne - Château-Gontier,building,47.831967,-0.6994378,47.8320445,-0.6995223,,world,11,19,,11,,TRUE,,11,8,
node/13686351277,Factory Outlet,building,19.2812335,72.8582509,19.2813331,72.8583839,,world,29,17,53,6,28,FALSE,TRUE,18,11,25
node/13866196915,Uncle Kelv's,building,51.5849382,-2.9925334,51.5854792,-2.9927323,,world,137,142,270,90,,FALSE,,62,52,
node/13989527313,,building,24.6538988,46.5903253,24.6539102,46.5904012,,world,8,57,,47,,TRUE,,8,10,
node/1669881243,,building,40.8018217,111.6926677,40.8016883,111.6923275,,world,32,56,,21,,TRUE,,32,35,
node/1767323017,,building,39.9673224,116.3429631,39.9669939,116.3429631,,world,37,129,148,92,113,TRUE,TRUE,37,37,35
node/2202545943,Familienzentrum Neulichtenhof,building,49.4313227,11.0867685,49.431376,11.0868508,,world,80,12,46,64,80,FALSE,TRUE,8,52,34
node/2333085946,上营,building,44.145641,127.2488422,44.1456234,127.2488011,,world,4,119,,116,,TRUE,,4,3,
node/2558456580,ปตท. NGV,area,13.8275106,100.7397351,13.8275037,100.7399814,,world,27,43,,64,,TRUE,,27,21,
node/2734334850,Kyauk Padang-Nyaung U Junction 3,building,20.8446519,95.1257656,20.8445912,95.1257465,,world,7,14,,7,,TRUE,,7,7,
node/2816560512,pom bensin,building,-8.3437932,113.5948114,-8.3437764,113.5947808,,world,4,35,,32,,TRUE,,4,3,
node/3178922368,島正,building,35.1673422,136.8985755,35.1673067,136.8986618,,world,22,13,155,8,141,TRUE,TRUE,9,5,14
node/3462232187,,area,47.643615,19.5324356,47.6436986,19.5325185,,world,16,26,,10,,TRUE,,11,16,
node/358828676,Church of the Incarnation,building,34.160075,-118.2556109,34.1600726,-118.2553475,,world,63,29,29,17,37,FALSE,TRUE,24,12,8
node/3952577949,,area,53.1514971,29.2319002,53.15155,29.2319577,,world,7,151,,144,,TRUE,,7,7,
node/3969559958,Unidad de Salud de Anamorós,building,13.7378379,-87.8725701,13.7377735,-87.8724073,,world,19,52,,31,,TRUE,,19,21,
node/4387215996,Chandina Post Office,building,23.4853117,91.0081603,23.485367,91.0081583,,world,6,19,,12,,TRUE,,6,7,
node/4551426689,Квант,building,47.3926117,35.0088062,47.3925336,35.00876,,world,9,58,,47,,TRUE,,9,11,
node/4837211087,KFC,building,25.3180287,51.4699561,25.317851,51.4701039,,world,25,24,1121,8,1075,FALSE,TRUE,25,16,46
node/4939174380,Nemzeti Dohánybolt,building,46.9000755,20.394091,46.9000134,20.394091,,world,7,22,28,14,19,TRUE,TRUE,7,8,9
node/5036806737,ហេង ហេង 89,building,12.0536235,105.0554495,12.0535396,105.0554959,,world,11,33,,23,,TRUE,,11,10,
node/5104633248,Курган 640003,building,55.4451378,65.371321,55.4450946,65.3714503,,world,9,38,,27,,TRUE,,9,11,
node/5318481338,Breeze Fish Point,building,25.3782386,68.3331554,25.3780753,68.3328499,,world,36,18,,16,,FALSE,,36,2,
node/5637988051,,area,48.7509872,8.3790581,48.7536613,8.374364,,world,1069,1101,,28,,TRUE,,455,1073,
node/6245808185,Starbucks | 20th & Market,building,39.9531003,-75.1724387,39.9533557,-75.1730454,,world,112,41,85,21,34,FALSE,FALSE,59,20,51
node/6764206084,,area,24.7980904,125.2773263,24.7987695,125.2770173,,world,82,102,424,21,339,TRUE,TRUE,82,81,85
node/6878396033,Ntharene Day Secondary,area,-0.1143821,37.6742138,-0.1147181,37.674297,,world,46,139,,148,,TRUE,,38,9,
node/7139646811,Abu Mansur Moturudiy jom`e masjidi,building,40.610466,68.243199,40.6103966,68.2432145,,world,8,139,,129,,TRUE,,8,10,
node/7271427189,PHC Sherpura,building,29.1634211,75.2391695,29.1633312,75.2391537,,world,10,55,,45,,TRUE,,10,10,
node/7405371342,,building,46.0001089,1.6065113,46.0001222,1.6065794,,world,5,56,,50,,TRUE,,5,6,
node/7522069258,Dhamtari Hospital,building,20.7012269,81.5377407,20.701153,81.5376722,,world,11,21,,9,,TRUE,,11,12,
node/806874198,,building,-32.472602,24.068675,-32.4725207,24.0686038,,world,11,25,,15,,TRUE,,11,10,
node/9247913343,第一江山,area,34.1935341,118.3407091,34.1955469,118.3445225,,world,520,521,,5,,TRUE,,416,516,
node/9370985481,,building,19.8169045,-97.8052774,19.8169186,-97.8053268,,world,5,9,,4,,TRUE,,5,5,
node/9847231718,,building,30.0549211,121.9006949,30.0548312,121.9007846,,world,13,72,,53,,TRUE,,13,19,
relation/20433261,,area,41.976112,-88.1875233,41.9760341,-88.186841,,world,80,91,,11,,TRUE,,57,80,
relation/20729726,Mount Kenya National Reserve,area,-0.1590721,37.3425941,-0.1605966,37.4454966,,world,14952,25507,,20413,,FALSE,,11443,5094,
relation/8775717,,area,36.8562272,114.5092709,36.8558633,114.5088282,,world,80,269,,190,,TRUE,,56,79,
way/1013512410,,area,14.3699292,-91.4628512,14.3702935,-91.4624114,,world,116,24,,5,,FALSE,,62,19,
way/1027676959,အမက-ညောင်ကုန်း,area,19.5716162,97.1767031,19.5716202,97.1769178,,world,22,83,,59,,TRUE,,22,24,
way/1059218560,,area,27.7763351,114.612892,27.7761939,114.6126166,,world,31,165,,134,,TRUE,,31,31,
way/1065303084,,building,52.3827116,-1.4654003,52.3826925,-1.4654172,,world,2,37,36,34,34,TRUE,TRUE,2,3,2
way/1075585909,,area,55.4816945,60.2121078,55.481574,60.2119495,,world,40,52,,21,,TRUE,,17,31,
way/1095873023,Praça José Oliveria Lopes,area,-23.9437541,-46.3808703,-23.9438927,-46.3809812,,world,19,36,195,13,168,TRUE,TRUE,19,23,27
way/1104773110,,area,32.5238806,131.6764114,32.5230456,131.6771095,,world,541,275,547,9,108,FALSE,TRUE,114,266,439
way/1113108722,Церковь Покрова Пресвятой Богородицы,building,52.4337135,32.2270484,52.4336198,32.2268829,,world,15,41,,25,,TRUE,,15,16,
way/1126179964,,area,46.0961159,27.4187575,46.0964348,27.4185165,,world,47,125,,77,,TRUE,,40,48,
way/1178167781,Love's,building,33.6474135,-85.5058169,33.6472891,-85.5059007,,world,16,33,,17,,TRUE,,16,16,
way/1184531613,,building,39.3770056,21.9094107,39.3767089,21.9094463,,world,84,62,,9,,FALSE,,33,53,
way/1218261685,,area,33.4389432,44.5400075,33.4391239,44.539889,,world,23,37,,10,,TRUE,,23,27,
way/1261935595,,area,-36.7683296,-59.8680035,-36.768272,-59.8680326,,world,7,17,,10,,TRUE,,7,7,
way/1276077772,InterStell,building,-23.7222396,-46.6035265,-23.7222559,-46.6040215,,world,131,36,149,6,99,FALSE,TRUE,50,30,50
way/1323797968,,area,44.6039698,129.6462472,44.6044688,129.6459016,,world,62,123,,85,,TRUE,,62,38,
way/1347455697,,building,41.0508363,-0.1305039,41.0508525,-0.1303957,,world,9,16,20,8,9,TRUE,TRUE,9,8,11
way/1350180872,九公寓,area,30.8196839,106.0628048,30.8226952,106.0649709,,world,547,21,,285,,FALSE,,394,264,
way/1423988562,,area,12.3281856,121.0854853,12.3286156,121.0851016,,world,100,103,,15,,TRUE,,63,88,
way/1426228188,,multiple buildings,60.6089981,21.5286399,60.6089263,21.527429,,world,90,77,,63,,TRUE,,67,14,
way/1454155740,,area,31.4243599,104.1459241,31.424355,104.1460637,,world,13,147,,136,,TRUE,,13,11,
way/1535233843,한국유통마트 덕정점,building,37.8361846,127.0759985,37.83597,127.0757268,,world,46,111,112,66,70,TRUE,TRUE,34,45,42
way/171245725,,area,42.583941,18.2140693,42.5839853,18.2142419,,world,15,119,,103,,TRUE,,15,16,
way/191981674,,building,36.6059055,-86.1645706,36.6059109,-86.1647216,,world,13,19,,6,,TRUE,,13,13,
